,query_4
0,combination therapy
1,matrix
2,guidance
3,disease prevention
4,reduction
5,treatment
6,aim
7,detected
8,delivery
9,isolation
10,immunisation
11,lead
12,expression
13,attachment
14,procedure
15,change
16,elevation
17,diversion
18,construction
19,antiviral therapy
20,therapy
21,anticoagulation
22,immunosuppression
23,mechanical ventilation
24,steroid treatment
25,destruction
26,chemotherapy
27,immunosuppressive therapy
28,oxygen therapy
29,prevention
30,discussion
31,surgical treatment
32,supplementation
33,detection
34,tracheostomy
35,corticosteroid therapy
36,urgent
37,intervention
38,release
39,proactive
40,infiltration
41,surgery
42,injection
43,passive immunotherapy
44,remind
45,presence
